id;energia
1;97465,204
2;112776,24
3;122962,116
4;125575,794
5;131745,917
6;135885,442
7;129980,459
8;113582,531
9;98975,89
10;97539,642
11;89362,097
12;87462,536
13;89806,585
14;91006,186
15;90605,192
16;93036,716
17;94885,503
18;99378,446
19;104713,858
20;100689,747
21;99479,073
22;106845,787
23;113067,588
24;93342,656
25;67619,399
26;76570,872
27;69291,589
28;71821,583
29;77858,922
30;70917,233
31;81449,99
32;75901,28
33;67560,88
34;74263,783
35;78689,866
36;80497,21
37;71710,774
38;67022,562
39;64520,349
40;64435,078
41;68545,44
42;72875,74
43;75068,027
44;80030,304
45;77882,516
46;75429,853
47;81271,829
48;87415,482
49;83237,775
50;85148,304
51;83535,032
52;73191,01
53;70475,294
54;74140,932
55;77414,331
56;84601,975
57;83634,672
58;86748,719
59;85379,841
60;86658,321
61;84353,338
62;81903,83
63;80988,478
64;76836,555
65;76584,901
66;73646,192
67;73825,733
68;78811,965
69;76260,786
70;71553,902
71;75249,551
72;74679,117
73;76473,609
74;79168,152
75;74985,654
76;74296,244
77;72316,088
78;71956,106
79;73219,917
80;70283,898
81;71915,801
82;69161,895
83;75383,973
84;70850,316
85;71158,036
86;66813,823
87;54885,595
88;50329,102
89;54975,595
90;60181,535
91;61269,14
92;61902,667
93;57235,25
94;46725,185
95;37404,467
96;33958,232
97;40332,149
98;41902,11
99;43382,092
100;49299,365
101;50076,692
102;46196,249
103;43504,998
104;43485,858
105;46336,068
106;44794,577
107;40607,521
108;43982,063
109;46981,772
110;45337,225
111;46642,524
112;46599,701
113;46110,713
114;50984,303
115;56835,489
116;56967,262
117;58934,172
118;55396,441
119;53410,467
120;47095,23
121;40059,208
122;38679,335
123;38684,527
124;34647,278
125;36781,92
126;29463,246
127;12076,576
128;9632,579
129;9490,155
130;8898,267
131;9106,232
132;9115,457
133;9074,763
134;9143,288
135;9785,18
136;9802,463
137;9488,609
138;9522,983
139;9583,796
140;9292,404
141;9039,047
142;9740,895
143;9537,784
144;8866,385
145;8768,125
146;8948,865
147;9147,754
148;8864,559
149;9157,568
150;9263,38
151;8573,991
152;8370,379
153;8414,193
154;8379,94
155;8286,147
156;8600,205
157;8637,478
158;8418,788
159;8571,366
160;8553,621
161;8617,154
162;8557,774
163;9059,499
164;8924,267
165;8504,41
166;8707,147
167;8912,508
168;8768,836
169;8632,397
170;9245,163
171;9167,91
172;8698,131
173;8581,663
174;8678,115
175;8502,436
176;8239,371
177;8218,386
178;8178,875
179;8160,153
180;8388,535
181;8525,613
182;8366,318
183;8475,834
184;8431,972
185;8531,643
186;8654,44
187;8684,211
188;8845,709
189;8941,103
190;8870,998
191;8516,195
192;8805,966
193;8315,668
194;8442,243
195;8400,28
196;8370,561
197;8522,723
198;8981,412
199;8948,37
200;8623,468
201;8749,085
202;8749,255
203;8563,571
204;8656,982
205;8828,723
206;8726,23
207;8290,755
208;8289,081
209;8243,67
210;8202,891
211;8228,553
212;8720,707
213;8512,136
214;8347,97
215;8503,685
216;8581,742
217;8424,013
218;8345,196
219;9013,367
220;8848,562
221;8441,161
222;8475,108
223;8689,591
224;8801,9
225;8806,896
226;9054,458
227;8808,974
228;8884,441
229;8718,791
230;8848,222
231;8798,867
232;8866,938
233;9116,287
234;9128,929
235;5319,609
236;4535,809
237;4533,78
238;6212,382
239;8154,97
240;8517,961
241;8299,379
242;8101,008
243;8323,768
244;8505,109
245;8302,306
246;8372,592
247;8706,142
248;8677,345
249;8405,883
250;8504,418
251;8476,272
252;8423,83
253;8329,999
254;8739,102
255;8581,046
256;8170,218
257;7829,997
258;7946,883
259;8028,875
260;8045,913
261;8558,44
262;8765,073
263;8490,586
264;8437,383
265;8755,051
266;8711,66
267;8887,517
268;9391,063
269;9345,404
270;8915,299
271;9024,333
272;8997,599
273;8902,651
274;9073,008
275;10337,267
276;10010,433
277;10298,201
278;30176,525
279;44584,892
280;45293,104
281;45585,456
282;45632,016
283;44463,626
284;45943,435
285;49626,007
286;53439,829
287;52588,146
288;54415,45
289;56270,788
290;60323,859
291;57838,762
292;54496,035
293;50502,262
294;55296,444
295;54662,107
296;55601,993
297;57452,096
298;55257,345
299;53247,279
300;58511,912
301;58523,263
302;53105,164
303;54849,408
304;59243,61
305;56770,494
306;54993,257
307;63790,925
308;70379,774
309;68908,152
310;70898,243
311;66288,008
312;69499,273
313;77535,774
314;78095,707
315;84319,909
316;86414,934
317;85524,769
318;80316,735
319;80215,683
320;80473,316
321;69879,011
322;62938,88
323;59037,004
324;65147,89
325;64734,316
326;57873,435
327;56167,642
328;59378,41
329;63642,892
330;71108,638
331;72769,151
332;70392,546
333;78455,827
334;77941,905
335;78543,633
336;69866,159
337;71466,579
338;77173,02
339;78429,147
340;69795,855
341;74387,473
342;82617,238
343;69233,284
344;64948,834
345;62316,029
346;63514,469
347;72982,826
348;80113,463
349;73564,402
350;73257,969
351;79770,252
352;85396,627
353;80081,459
354;76759,112
355;77873,46
356;83019,242
357;84918,425
358;79122,606
359;78114,07
360;72755,683
361;66870,263
362;71509,389
363;75965,915
364;81559,474
365;83524,799
366;83676,624
367;79323,354
368;80815,106
369;84251,569
370;84629,869
371;95906,715
372;103419,846
373;106692,367
374;108968,425
375;102762,832
376;101016,024
377;107396,252
378;95077,323
379;92756,858
380;92284,058
381;91895,577
382;92208,152
383;92829,453
384;95097,649
385;94353,737
386;88933,417
387;87442,058
388;87986,266
389;91341,245
390;88832,098
391;86352,821
392;85715,037
393;89338,852
394;91193,528
395;91106,739
396;86537,556
397;86674,762
398;88822,226
399;89747,492
400;88843,328
401;88940,398
402;88931,256
403;89339,808
404;93198,521
405;104194,022
406;105966,437
407;103813,151
408;105167,406
409;104028,585
410;105870,588
411;103243,57
412;91220,739
413;80540,986
414;77636,807
415;80095,25
416;78368,545
417;73704,806
418;72426,128
419;72796,126
420;71721,792
421;78582,52
422;77506,631
423;75073,991
424;62823,061
425;64891,22
426;69301,464
427;75276,214
428;69897,949
429;65192,826
430;64444,774
431;66469,951
432;76240,922
433;75079,956
434;71374,416
435;70716,778
436;74901,759
437;76675,237
438;70988,132
439;65207,715
440;63206,258
441;66305,501
442;65576,1
443;73629,634
444;71024,524
445;61995,202
446;53995,5
447;57088,715
448;57926,893
449;59833,809
450;66001,851
451;59203,561
452;52249,062
453;47330,029
454;54231,336
455;51046,597
456;38688,164
457;38214,484
458;43057,999
459;47383,111
460;47845,858
461;49289,312
462;51196,955
463;51158,111
464;52893,56
465;44273,482
466;42811,189
467;53159,377
468;54912,047
469;53381,916
470;56135,714
471;59649,56
472;59308,78
473;59362,391
474;63171,879
475;63363,976
476;60457,142
477;54067,206
478;58291,113
479;58889,253
480;57706,087
481;60371,112
482;56614,265
483;55508,161
484;53222,547
485;56953,235
486;53067,353
487;47337,634
488;44664,978
489;43042,111
490;47635,988
491;44096,888
492;41952,83
493;43513,048
494;46753,368
495;46915,386
496;50266,709
497;47252,963
498;39227,692
499;31563,495
500;27670,614
501;18448,685
502;8967,653
503;8835,601
504;8753,064
505;8619,842
506;9153,792
507;9067,548
508;8634,576
509;8599,815
510;8453,412
511;8681,567
512;8924,926
513;9277,916
514;8914,438
515;8335,775
516;8313,506
517;8726,695
518;8934,191
519;9008,975
520;9576,6
521;9252,31
522;8916,622
523;8817,575
524;8932,202
525;9030,72
526;8781,503
527;9268,44
528;9147,693
529;8527,669
530;8651,354
531;8853,985
532;8738,449
533;9024,058
534;9250,147
535;9160,422
536;8751,226
537;8621,733
538;8685,634
539;8716,676
540;8566,91
541;9196,044
542;9056,558
543;8803,263
544;8939,39
545;8826,493
546;8533,977
547;8478,976
548;8988,503
549;8886,622
550;9190,64
551;8857,984
552;8914,367
553;8829,312
554;8349,91
555;9323,38
556;9125,421
557;8669,301
558;8649,263
559;8486,071
560;8597,86
561;174,628
562;0
563;0
564;0
565;0
566;0
567;0
568;0
569;0
570;0
571;0
572;0
573;0
574;0
575;0
576;0
577;0
578;0
579;0
580;0
581;0
582;0
583;0
584;0
585;0
586;0
587;0
588;0
589;0
590;0
591;0
592;0
593;0
594;0
595;0
596;0
597;0
598;0
599;0
600;0
601;0
602;0
603;0
604;0
605;0
606;0
607;0
608;0
609;0
610;0
611;0
612;0
613;0
614;0
615;0
616;0
617;0
618;0
619;0
620;0
621;0
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;0
630;0
631;0
632;0
633;0
634;16956,8
635;30431,413
636;28297,264
637;28812,358
638;31127,342
639;33503,424
640;32654,761
641;33458,698
642;31074,579
643;35643,619
644;39421,043
645;37368,185
646;38482,936
647;38414,898
648;38175,824
649;38744,096
650;35602,232
651;35383,529
652;36625,424
653;33199,506
654;31053,4
655;30609,974
656;30067,463
657;32145,153
658;34037,299
659;33607,242
660;33403,837
661;38069,491
662;39790,937
663;40058,383
664;35243,371
665;35785,42
666;40492,603
667;44132,902
668;49148,441
669;50781,679
670;50187,617
671;47059,312
672;46934,6
673;46170,622
674;49621,041
675;46403,226
676;46819,862
677;53959,258
678;51780,002
679;55004,157
680;54210,157
681;59342,724
682;60174,106
683;57958,16
684;59585,316
685;57165,919
686;56198,241
687;55737,883
688;61200,732
689;62953,523
690;64963,853
691;66910,506
692;64380,128
693;58451,052
694;57879,38
695;63298,537
696;66668,131
697;65029,798
698;63526,14
699;65745,551
700;71522,764
701;69314,852
702;70685,117
703;73370,139
704;69317,752
705;68365,278
706;66197,122
707;65040,499
708;68335,843
709;75224,028
710;77459,162
711;75079,835
712;71542,417
713;74770,309
714;75074,094
715;74560,99
716;76303,474
717;78002,528
718;77856,735
719;79471,849
720;79225,264
721;71758,969
722;72139,731
723;69913,707
724;64187,315
725;60413,441
726;63063,906
727;68317,043
728;68918,836
729;70671,11
730;75921,395
731;68969,958
732;62420,914
733;68343,658
734;69362,829
735;68064,067
736;65522,896
737;66014,768
738;74105,948
739;79842,947
740;77760,053
741;75329,818
742;77060,497
743;78901,007
744;83613,146
745;87223,936
746;89174,408
747;48785,03
748;0
749;0
750;0
751;0
752;0
753;57328,151
754;85400,294
755;73783,331
756;64143,529
757;66594,226
758;69337,056
759;67167,673
760;61585,854
761;69185,498
762;70353,314
763;69514,696
764;72226,952
765;74203,659
766;9306,11
767;0
768;0
769;0
770;0
771;0
772;0
773;0
774;0
775;0
776;0
777;0
778;0
779;0
780;0
781;0
782;0
783;0
784;0
785;0
786;0
787;0
788;0
789;0
790;10707,69
791;111395,984
792;109505,401
793;104529,883
794;98771,39
795;91478,703
796;85589,247
797;81814,58
798;77190,331
799;66233,44
800;0
801;0
802;39295,092
803;60832,469
804;66367,563
805;68111,86
806;74635,513
807;18483,493
808;0
809;49955,118
810;82286,403
811;76552,176
812;74915,863
813;70350,796
814;66524,9
815;59779,689
816;67189,855
817;64064,814
818;63437,745
819;68413,018
820;70473,647
821;69318,511
822;69718,95
823;66333,354
824;60880,976
825;42652,991
826;39710,305
827;51074,517
828;45666,687
829;32601,872
830;30845,484
831;33696,731
832;36367,687
833;29886,047
834;24025,269
835;27617,404
836;27999,644
837;34563,314
838;33134,151
839;29601,168
840;26720,112
841;23784,756
842;26544,875
843;29513,015
844;26941,245
845;30848,79
846;17994,892
847;12,728
848;9490,459
849;26444,848
850;25503,734
851;23642,33
852;27259,007
853;30536,091
854;29070,833
855;33480,56
856;32466,951
857;16343,933
858;0
859;0
860;3846,832
861;5324,827
862;4910,421
863;5794,312
864;5709,209
865;5260,775
866;5253,844
867;5367,4
868;5130,01
869;5143,591
870;5506,841
871;5510,158
872;5195,675
873;5098,52
874;5122,006
875;5151,885
